word,bengaliMeaning,pronunciation,example,exampleBengali,difficulty,level,partOfSpeech,Type of sentence,Type of tense
Effective,কার্যকর,/ɪfˈɛktɪv/,"Because the situation was so effective, everyone took notice.",পরিস্থিতিটি এতটাই কার্যকর ছিল যে সবাই লক্ষ্য করেছিল।,Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Ensure,নিশ্চিত করা,/ɛnʃˈʊr/,"If we act now, we can ensure this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি নিশ্চিত করতে পারবো।,Medium,IELTS Band 6-7,verb,Complex,Present Simple
Entitled,অধিকারী,/ɛntˈaɪtʌld/,The team is entitleding new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় অধিকারী করছে।,Medium,IELTS Band 6-7,verb,Simple,Present Continuous
Equipment,সরঞ্জাম,/ɪkwˈɪpmʌnt/,"Although it looked equipment, the plan actually worked.","যদিও এটি সরঞ্জাম মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Medium,IELTS Band 6-7,adjective,Complex,Past Simple
Equivalent,সমতুল্য,/ɪkwˈɪvʌlʌnt/,Most experts consider this method quite equivalent.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ সমতুল্য মনে করেন।,Hard,IELTS Band 7-9,adjective,Simple,Present Simple
Estimate,অনুমান,/ˈɛstʌmʌt/,They estimate this issue every single day.,তারা প্রতিদিন এই বিষয়টি অনুমান করে।,Hard,IELTS Band 7-9,verb,Simple,Present Simple
Exception,ব্যতিক্রম,/ɪksˈɛpʃʌn/,Researchers have studied this exception for many years.,গবেষকরা বহু বছর ধরে এই ব্যতিক্রম নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
Exotic,বহিরাগত,/ɪgzˈɑtɪk/,The result was extremely exotic.,ফলাফলটি অত্যন্ত বহিরাগত ছিল।,Medium,IELTS Band 6-7,adjective,Simple,Past Simple
Expected,প্রত্যাশিত,/ɪkspˈɛktʌd/,"If we act now, we can expected this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি প্রত্যাশিত করতে পারবো।,Medium,IELTS Band 6-7,verb,Complex,Present Simple
Expedition,অভিযান,/ɛkspʌdˈɪʃʌn/,The expedition will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে অভিযান বড় ভূমিকা রাখবে।,Hard,IELTS Band 7-9,noun,Simple,Future Simple
Expert,বিশেষজ্ঞ,/ˈɛkspɜrt/,"Because of the expert, the whole plan had to change.",বিশেষজ্ঞ-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Easy,IELTS Band 5-6,noun,Complex,Past Simple
Exploration,অন্বেষণ,/ɛksplɜrˈeɪʃʌn/,The article discusses the exploration in great detail.,প্রবন্ধটিতে অন্বেষণ নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Extinction,বিলুপ্তি,/ɪkstˈɪŋkʃʌn/,Scientists are still examining the extinction closely.,বিজ্ঞানীরা এখনো বিলুপ্তি খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Hard,IELTS Band 7-9,noun,Simple,Present Continuous
Extraordinary,অসাধারণ,/ɛkstrʌˈɔrdʌnɛri/,The result was extremely extraordinary.,ফলাফলটি অত্যন্ত অসাধারণ ছিল।,Hard,IELTS Band 7-9,adjective,Simple,Past Simple
Extremely,অত্যন্ত,/ɛkstrˈimli/,The plan was extremely rejected by the committee.,পরিকল্পনাটি কমিটি অত্যন্ত প্রত্যাখ্যান করেছিল।,Medium,IELTS Band 6-7,adverb,Simple,Past Simple
Factual,বাস্তব,/fˈæktʃuʌl/,"Although it looked factual, the plan actually worked.","যদিও এটি বাস্তব মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Medium,IELTS Band 6-7,adjective,Complex,Past Simple
Hypothesis,অনুমান,/haɪpˈɑθʌsʌs/,Every student should understand the hypothesis before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর অনুমান সম্পর্কে বোঝা উচিত।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Imminent,আসন,/ˈɪmʌnʌnt/,The area has become increasingly imminent in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ আসন হয়ে উঠেছে।,Medium,IELTS Band 6-7,adjective,Simple,Present Perfect
Incredible,অবিশ্বাস্য,/ɪnkrˈɛdʌbʌl/,"Because the situation was so incredible, everyone took notice.",পরিস্থিতিটি এতটাই অবিশ্বাস্য ছিল যে সবাই লক্ষ্য করেছিল।,Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Indicate,দেখানো,/ˈɪndʌkeɪt/,They indicate this issue every single day.,তারা প্রতিদিন এই বিষয়টি দেখানো করে।,Hard,IELTS Band 7-9,verb,Simple,Present Simple
Influence,প্রভাব,/ˈɪnfluʌns/,Scientists are still examining the influence closely.,বিজ্ঞানীরা এখনো প্রভাব খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Continuous
Initiative,উদ্যোগ,/ɪnˈɪʃʌtɪv/,"Although it looked initiative, the plan actually worked.","যদিও এটি উদ্যোগ মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Intended,উদ্দেশ্য,/ɪntˈɛndɪd/,"If we act now, we can intended this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি উদ্দেশ্য করতে পারবো।,Medium,IELTS Band 6-7,verb,Complex,Present Simple
Invaluable,অমূল্য,/ɪnvˈæljʌbʌl/,The area has become increasingly invaluable in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ অমূল্য হয়ে উঠেছে।,Hard,IELTS Band 7-9,adjective,Simple,Present Perfect
Magnificent,মহিমান্বিত,/mægnˈɪfʌsʌnt/,"Because the situation was so magnificent, everyone took notice.",পরিস্থিতিটি এতটাই মহিমান্বিত ছিল যে সবাই লক্ষ্য করেছিল।,Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Manufacturer,প্রস্তুতকারক,/mænjʌfˈæktʃɜrɜr/,The manufacturer will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে প্রস্তুতকারক বড় ভূমিকা রাখবে।,Hard,IELTS Band 7-9,noun,Simple,Future Simple
Marine,সামুদ্রিক,/mɜrˈin/,"Because of the marine, the whole plan had to change.",সামুদ্রিক-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Medium,IELTS Band 6-7,noun,Complex,Past Simple
Medication,ওষুধ,/mɛdʌkˈeɪʃʌn/,The article discusses the medication in great detail.,প্রবন্ধটিতে ওষুধ নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Merely,কেবলমাত্র,/mˈɪrli/,"Because she worked merely, she finished on time.",সে কেবলমাত্র কাজ করেছিল বলে সময়মতো শেষ করতে পেরেছিল।,Easy,IELTS Band 5-6,adverb,Complex,Past Simple
Natural,প্রাকৃতিক,/nˈætʃɜrʌl/,The area has become increasingly natural in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ প্রাকৃতিক হয়ে উঠেছে।,Medium,IELTS Band 6-7,adjective,Simple,Present Perfect
Negotiate,আলোচনা করা,/nʌgˈoʊʃieɪt/,The team is negotiating new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় আলোচনা করছে।,Hard,IELTS Band 7-9,verb,Simple,Present Continuous
Opportunity,সুযোগ,/ɑpɜrtˈunʌti/,"Although the opportunity seemed minor, it changed everything.","যদিও সুযোগ বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Hard,IELTS Band 7-9,noun,Complex,Past Simple
Perception,উপলব্ধি,/pɜrsˈɛpʃʌn/,Every student should understand the perception before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর উপলব্ধি সম্পর্কে বোঝা উচিত।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Plausible,বিশ্বাসযোগ্য,/plˈɔzʌbʌl/,"Although it looked plausible, the plan actually worked.","যদিও এটি বিশ্বাসযোগ্য মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Medium,IELTS Band 6-7,adjective,Complex,Past Simple
Possibility,সম্ভাবনা,/pɑsʌbˈɪlʌti/,"Because of the possibility, the whole plan had to change.",সম্ভাবনা-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Predominantly,প্রধানত,/prɪdˈɑmʌnʌntli/,He predominantly explains difficult topics in class.,সে ক্লাসে কঠিন বিষয়গুলো প্রধানত ব্যাখ্যা করে।,Hard,IELTS Band 7-9,adverb,Simple,Present Simple
Reception,অভ্যর্থনা,/rɪsˈɛpʃʌn/,Scientists are still examining the reception closely.,বিজ্ঞানীরা এখনো অভ্যর্থনা খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Continuous
Retention,ধারণ,/ritˈɛnʃʌn/,The retention was clearly explained in the report.,প্রতিবেদনে ধারণ বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Medium,IELTS Band 6-7,noun,Simple,Past Simple
Risk,ঝুঁকি,/rˈɪsk/,Researchers have studied this risk for many years.,গবেষকরা বহু বছর ধরে এই ঝুঁকি নিয়ে গবেষণা করেছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Perfect
